k, silhouette, converge-time, silhouette-time, total-time
10,0.560614,19,0,181
11,0.570488,35,0,36
12,0.544587,26,0,27
13,0.566498,29,0,30
14,0.564171,23,0,24
15,0.570268,33,0,33
16,0.572717,33,0,34
17,0.572813,33,0,34
18,0.561293,35,0,35
19,0.561571,35,0,36
20,0.583175,42,0,42
21,0.593395,18,0,18
22,0.591609,18,0,18
23,0.589481,20,0,20
24,0.579321,59,0,59
25,0.578162,25,0,25
26,0.590342,41,0,42
27,0.591838,43,0,44
28,0.583551,53,0,54
29,0.583283,52,0,52
30,0.584265,46,0,47
31,0.589927,40,0,41
32,0.59435,44,0,45
33,0.595968,44,0,45
34,0.602059,44,0,45
35,0.605565,44,0,45
36,0.608339,64,0,65
37,0.612225,60,0,60
38,0.611054,59,0,60
39,0.610643,38,0,39
40,0.608698,33,0,34
41,0.609075,33,0,34
42,0.604794,33,0,34
43,0.600636,26,0,26
44,0.599194,23,0,24
45,0.597655,23,0,24
46,0.596351,23,0,24
47,0.593166,23,0,24
48,0.59464,23,0,24
49,0.591975,23,0,24
