k, initialization, cluster-accumulator, cluster-position, cluster-for-point
10, 93,185,0,0
25, 98,524,0,11
50, 99,268,0,128
100, 98,122,0,240
200, 99,171,0,349
500, 97,11,0,884
1000, 94,0,0,1658
